net,length_um
genblk1.pcpi_mul.rs2\[28\],272.01
_11483_,271.205
_11274_,271.01
net106,270.94
_12450_,269.96
net105,269.66
_11383_,269.6
decoded_imm_uj\[7\],269.53
_06489_,269.52
_08257_,269.08
alu_out_q\[6\],269.08
_13974_,268.86
net155,268.72
_11423_,268.66
_09154_,268.58
_13177_,268.565
_09169_,268.425
_10896_,268.14
_08336_,267.83
_06354_,267.79
_11293_,267.695
_08395_,267.58
_09158_,267.56
net357,267.165
_05440_,267.14
_09071_,266.56
net325,266.52
_09479_,266.22
_05479_,265.42
_08724_,265.4
decoded_imm_uj\[9\],265.1
genblk1.pcpi_mul.rs2\[29\],265.08
decoded_imm\[29\],264.98
_11749_,264.95
_09584_,264.88
decoded_imm\[28\],264.845
_13137_,264.59
decoded_imm\[24\],264.56
_08022_,264.14
_14041_,263.935
_11504_,263.705
_11537_,263.56
_14042_,263.56
_11672_,263.46
net352,263.295
_14022_,263.26
genblk1.pcpi_mul.rd\[47\],262.86
_05417_,262.84
_11768_,262.78
_12001_,262.59
_05250_,262.44
_10304_,262.37
_08781_,262.24
decoded_imm\[25\],262.115
_08394_,262.08
_08888_,262
_11651_,261.98
genblk1.pcpi_mul.rs2\[2\],261.96
_11848_,261.6
net277,261.56
net395,260.99
_11540_,260.82
net282,260.8
net371,260.68
_06477_,260.64
_08415_,260.45
decoded_rs1\[4\],260.22
_11162_,260.12
net156,260
_08709_,259.82
decoded_imm\[31\],259.81
_09082_,259.76
_14016_,259.3
_10469_,259.185
_08397_,258.54
net129,258.54
_08626_,258.52
_02875_,258.51
_01673_,258.01
_08861_,257.98
_13970_,257.895
net283,257.82
_05903_,257.66
net177,257.66
irq_pending\[13\],257.57
genblk1.pcpi_mul.active\[0\],257.28
net358,257.27
alu_out_q\[5\],257.26
_10901_,256.98
decoded_imm\[27\],256.6
_08723_,256.4
_11843_,256.35
_11318_,256.3
_08369_,256.04
_03041_,255.88
net366,255.795
_07894_,255.75
_11772_,255.56
_08361_,255.52
_08671_,255.48
_06710_,255.29
_01575_,255.25
net174,255.14
_14248_,255.13
